Titulo,Empresa,Ubicacion,Salario,Experiencia minima,Tipo de contrato,Estudios minimos,Skills,Descripcion,Referencia,cat_original,cat_identificada
Machine Learning Specialist,Infinite Data Labs,"Granada, España",60.000€ - 70.000€ Bruto/año,Al menos 4 años,"Indefinido, jornada completa",Ciclo Formativo Grado Superior en Informática,"['r', 'deep learning', 'data visualization', 'big data']","En Infinite Data Labs, estamos buscando un/a Machine Learning Specialist para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Granada, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como R, Deep Learning, Data Visualization, Big Data, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 4 años.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: R, Deep Learning, Data Visualization, Big Data.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: 60.000€ - 70.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Infinite Data Labs!",E6EC0A51,Data Scientist,
Predictive Analytics Expert,BrightAI Solutions,"Bilbao, España",45.000€ - 55.000€ Bruto/año,Al menos 3 años,"Temporal, media jornada",Máster en Data Science,"['hadoop', 'spark', 'kafka', 'etl']","En BrightAI Solutions, estamos buscando un/a Predictive Analytics Expert para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Bilbao, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Hadoop, Spark, Kafka, ETL Processes, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 3 años.
- Formación académica: Máster en Data Science.
- Conocimiento técnico: Hadoop, Spark, Kafka, ETL Processes.

Ofrecemos:
- Contrato: Temporal, media jornada.
- Salario competitivo: 45.000€ - 55.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en BrightAI Solutions!",3389D3B4,Data Scientist,
AI Solutions Architect,Infinite Data Labs,"Palma de Mallorca, España",30.000€ - 40.000€ Bruto/año,Sin experiencia,"Temporal, media jornada",Ciclo Formativo Grado Superior en Informática,"['hadoop', 'spark', 'kafka', 'etl']","En Infinite Data Labs, estamos buscando un/a AI Solutions Architect para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Palma de Mallorca, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Hadoop, Spark, Kafka, ETL Processes, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Sin experiencia.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: Hadoop, Spark, Kafka, ETL Processes.

Ofrecemos:
- Contrato: Temporal, media jornada.
- Salario competitivo: 30.000€ - 40.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Infinite Data Labs!",02AE4BA2,Data Scientist,
Data Engineer,NextGen AI,"Málaga, España",30.000€ - 40.000€ Bruto/año,Al menos 1 año,"Por obra o servicio, jornada completa",Ciclo Formativo Grado Superior en Informática,"['tensorflow', 'keras', 'pytorch', 'nlp']","En NextGen AI, estamos buscando un/a Data Engineer para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Málaga, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como TensorFlow, Keras, PyTorch, Natural Language Processing, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 1 año.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: TensorFlow, Keras, PyTorch, Natural Language Processing.

Ofrecemos:
- Contrato: Por obra o servicio, jornada completa.
- Salario competitivo: 30.000€ - 40.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en NextGen AI!",55E943EF,Data Scientist,
Natural Language Processing Expert,Visionary Insights,"Madrid, España",45.000€ - 55.000€ Bruto/año,Al menos 1 año,"Indefinido, jornada completa",Máster en Data Science,"['tensorflow', 'keras', 'pytorch', 'nlp']","En Visionary Insights, estamos buscando un/a Natural Language Processing Expert para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Madrid, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como TensorFlow, Keras, PyTorch, Natural Language Processing, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 1 año.
- Formación académica: Máster en Data Science.
- Conocimiento técnico: TensorFlow, Keras, PyTorch, Natural Language Processing.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: 45.000€ - 55.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Visionary Insights!",A1C838E0,Data Scientist,
Natural Language Processing Expert,DataCore Systems,"Granada, España",30.000€ - 40.000€ Bruto/año,Al menos 1 año,"Por obra o servicio, jornada completa",Ciclo Formativo Grado Superior en Informática,"['tensorflow', 'keras', 'pytorch', 'nlp']","En DataCore Systems, estamos buscando un/a Natural Language Processing Expert para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Granada, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como TensorFlow, Keras, PyTorch, Natural Language Processing, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 1 año.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: TensorFlow, Keras, PyTorch, Natural Language Processing.

Ofrecemos:
- Contrato: Por obra o servicio, jornada completa.
- Salario competitivo: 30.000€ - 40.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en DataCore Systems!",7687D41B,Data Scientist,
Predictive Analytics Expert,BlueSphere Analytics,"Palma de Mallorca, España",30.000€ - 40.000€ Bruto/año,Al menos 3 años,"Por obra o servicio, jornada completa",Máster en Data Science,"['hadoop', 'spark', 'kafka', 'etl']","En BlueSphere Analytics, estamos buscando un/a Predictive Analytics Expert para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Palma de Mallorca, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Hadoop, Spark, Kafka, ETL Processes, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 3 años.
- Formación académica: Máster en Data Science.
- Conocimiento técnico: Hadoop, Spark, Kafka, ETL Processes.

Ofrecemos:
- Contrato: Por obra o servicio, jornada completa.
- Salario competitivo: 30.000€ - 40.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en BlueSphere Analytics!",BE327C7B,Data Scientist,
Data Visualization Engineer,Infinite Data Labs,"Alicante, España",45.000€ - 55.000€ Bruto/año,Al menos 4 años,"Temporal, media jornada",Máster en Data Science,"['hadoop', 'spark', 'kafka', 'etl']","En Infinite Data Labs, estamos buscando un/a Data Visualization Engineer para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Alicante, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Hadoop, Spark, Kafka, ETL Processes, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 4 años.
- Formación académica: Máster en Data Science.
- Conocimiento técnico: Hadoop, Spark, Kafka, ETL Processes.

Ofrecemos:
- Contrato: Temporal, media jornada.
- Salario competitivo: 45.000€ - 55.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Infinite Data Labs!",1F4A38ED,Data Scientist,
Senior Data Scientist,Tech Solutions Ltd.,"Málaga, España",Salario no disponible,Al menos 1 año,"Indefinido, jornada completa",Máster en Data Science,"['hadoop', 'spark', 'kafka', 'etl']","En Tech Solutions Ltd., estamos buscando un/a Senior Data Scientist para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Málaga, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Hadoop, Spark, Kafka, ETL Processes, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 1 año.
- Formación académica: Máster en Data Science.
- Conocimiento técnico: Hadoop, Spark, Kafka, ETL Processes.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: Salario no disponible.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Tech Solutions Ltd.!",973DBB71,Data Scientist,
Big Data Engineer,Future Tech AI,"Madrid, España",30.000€ - 40.000€ Bruto/año,Al menos 3 años,"Indefinido, jornada completa",Ciclo Formativo Grado Superior en Informática,"['cloud computing', 'aws', 'azure', 'google cloud']","En Future Tech AI, estamos buscando un/a Big Data Engineer para unirse a nuestro equipo y trabajar en proyectos innovadores en el campo de la ciencia de datos. Con sede en Madrid, España, este rol ofrece una oportunidad única para aplicar tus habilidades y conocimientos en tecnologías como Cloud Computing, AWS, Azure, Google Cloud, generando un impacto real en nuestros productos y servicios.

Como parte de nuestro equipo, tendrás la responsabilidad de desarrollar soluciones basadas en datos, desde el análisis exploratorio hasta la implementación de modelos de Machine Learning, asegurando la calidad y escalabilidad de las mismas. Colaborarás con equipos multidisciplinares y trabajarás en un entorno ágil para optimizar procesos y generar insights accionables.

Requisitos:
- Experiencia mínima: Al menos 3 años.
- Formación académica: Ciclo Formativo Grado Superior en Informática.
- Conocimiento técnico: Cloud Computing, AWS, Azure, Google Cloud.

Ofrecemos:
- Contrato: Indefinido, jornada completa.
- Salario competitivo: 30.000€ - 40.000€ Bruto/año.
- Ambiente de trabajo inclusivo y orientado al desarrollo profesional.

Si buscas un entorno dinámico donde aplicar tus conocimientos y contribuir al desarrollo de soluciones innovadoras, ¡te invitamos a unirte a nuestro equipo en Future Tech AI!",2C4B8976,Data Scientist,
