Titulo,Empresa,Ubicacion,Salario,Experiencia minima,Tipo de contrato,Estudios minimos,Skills,Descripcion,Referencia,cat_original,cat_identificada
Machine Learning Data Engineer,Boycor,"Barcelona, España","['40.000', '55.000']",3-5 años,"Temporal, media jornada",['Curso especializado en Big Data'],"['big data', 'data lakes', 'data warehouses']","Machine Learning Data Engineer en Boycor

    Únete a Boycor, una empresa comprometida con la innovación en datos y tecnología. Estamos buscando un/a Machine Learning Data Engineer para formar parte de nuestro equipo en Barcelona, España. 

    Responsabilidades principales:
    - Diseñar y desarrollar pipelines de datos utilizando herramientas avanzadas como Big Data tools, Data Lakes, Data Warehouses.
    - Colaborar en proyectos de alto impacto que mejoran la toma de decisiones empresariales.
    - Asegurar la calidad y accesibilidad de los datos para equipos internos y externos.

    Requisitos mínimos:
    - 3-5 años de experiencia en roles similares.
    - Formación académica: Curso especializado en Big Data.
    - Conocimientos técnicos en Big Data tools, Data Lakes, Data Warehouses.

    Condiciones y beneficios:
    - Contrato Temporal, media jornada.
    - Salario competitivo: 40.000€ - 55.000€ brutos anuales.
    - Oportunidades de crecimiento y aprendizaje continuo en un entorno dinámico.

    Si te apasionan los datos y quieres contribuir a proyectos transformadores, ¡este es tu lugar!",ETL60216,Data Engineer,
Cloud Data Engineer,EOS Solutions,"Valladolid, España","['40.000', '55.000']",1-2 años,"Indefinido, jornada completa",['FP en Desarrollo de Aplicaciones Multiplataforma'],"['aws', 'gcp', 'azure', 'docker', 'kubernetes']","Cloud Data Engineer en EOS Solutions

    Únete a EOS Solutions, una empresa comprometida con la innovación en datos y tecnología. Estamos buscando un/a Cloud Data Engineer para formar parte de nuestro equipo en Valladolid, España. 

    Responsabilidades principales:
    - Diseñar y desarrollar pipelines de datos utilizando herramientas avanzadas como Cloud platforms (AWS, GCP, Azure).
    - Colaborar en proyectos de alto impacto que mejoran la toma de decisiones empresariales.
    - Asegurar la calidad y accesibilidad de los datos para equipos internos y externos.

    Requisitos mínimos:
    - 1-2 años de experiencia en roles similares.
    - Formación académica: FP en Desarrollo de Aplicaciones Multiplataforma.
    - Conocimientos técnicos en Cloud platforms (AWS, GCP, Azure), Docker, Kubernetes.

    Condiciones y beneficios:
    - Contrato Indefinido, jornada completa.
    - Salario competitivo: 40.000€ - 55.000€ brutos anuales.
    - Oportunidades de crecimiento y aprendizaje continuo en un entorno dinámico.

    Si te apasionan los datos y quieres contribuir a proyectos transformadores, ¡este es tu lugar!",BDENG65011,Data Engineer,
Data Engineer Junior,Boycor,"Valencia, España","['40.000', '55.000']",1-2 años,"Contrato por proyecto, freelance",['Máster en Big Data o Ingeniería de Datos'],"['apache kafka', 'airflow', 'nosql']","Data Engineer Junior en Boycor

    Únete a Boycor, una empresa comprometida con la innovación en datos y tecnología. Estamos buscando un/a Data Engineer Junior para formar parte de nuestro equipo en Valencia, España. 

    Responsabilidades principales:
    - Diseñar y desarrollar pipelines de datos utilizando herramientas avanzadas como Apache Kafka, Airflow, NoSQL databases.
    - Colaborar en proyectos de alto impacto que mejoran la toma de decisiones empresariales.
    - Asegurar la calidad y accesibilidad de los datos para equipos internos y externos.

    Requisitos mínimos:
    - 1-2 años de experiencia en roles similares.
    - Formación académica: Máster en Big Data o Ingeniería de Datos.
    - Conocimientos técnicos en Apache Kafka, Airflow, NoSQL databases.

    Condiciones y beneficios:
    - Contrato Contrato por proyecto, freelance.
    - Salario competitivo: 40.000€ - 55.000€ brutos anuales.
    - Oportunidades de crecimiento y aprendizaje continuo en un entorno dinámico.

    Si te apasionan los datos y quieres contribuir a proyectos transformadores, ¡este es tu lugar!",ETL81589,Data Engineer,
Data Architect,Changetheblock,"Barcelona, España","['35.000', '45.000']",Sin experiencia,"Indefinido, jornada completa","['Grado en Informática', ' Matemáticas o similar']","['aws', 'gcp', 'azure', 'docker', 'kubernetes']","Data Architect en Changetheblock

    Únete a Changetheblock, una empresa comprometida con la innovación en datos y tecnología. Estamos buscando un/a Data Architect para formar parte de nuestro equipo en Barcelona, España. 

    Responsabilidades principales:
    - Diseñar y desarrollar pipelines de datos utilizando herramientas avanzadas como Cloud platforms (AWS, GCP, Azure).
    - Colaborar en proyectos de alto impacto que mejoran la toma de decisiones empresariales.
    - Asegurar la calidad y accesibilidad de los datos para equipos internos y externos.

    Requisitos mínimos:
    - Sin experiencia de experiencia en roles similares.
    - Formación académica: Grado en Informática, Matemáticas o similar.
    - Conocimientos técnicos en Cloud platforms (AWS, GCP, Azure), Docker, Kubernetes.

    Condiciones y beneficios:
    - Contrato Indefinido, jornada completa.
    - Salario competitivo: 35.000€ - 45.000€ brutos anuales.
    - Oportunidades de crecimiento y aprendizaje continuo en un entorno dinámico.

    Si te apasionan los datos y quieres contribuir a proyectos transformadores, ¡este es tu lugar!",ETL64179,Data Engineer,
Machine Learning Data Engineer,Aubay,"Málaga, España","['40.000', '55.000']",Sin experiencia,"Temporal, media jornada",['Máster en Big Data o Ingeniería de Datos'],"['sql', 'data warehousing', 'etl', 'elt', 'tableau']","Machine Learning Data Engineer en Aubay

    Únete a Aubay, una empresa comprometida con la innovación en datos y tecnología. Estamos buscando un/a Machine Learning Data Engineer para formar parte de nuestro equipo en Málaga, España. 

    Responsabilidades principales:
    - Diseñar y desarrollar pipelines de datos utilizando herramientas avanzadas como SQL, Data Warehousing, ETL/ELT processes.
    - Colaborar en proyectos de alto impacto que mejoran la toma de decisiones empresariales.
    - Asegurar la calidad y accesibilidad de los datos para equipos internos y externos.

    Requisitos mínimos:
    - Sin experiencia de experiencia en roles similares.
    - Formación académica: Máster en Big Data o Ingeniería de Datos.
    - Conocimientos técnicos en SQL, Data Warehousing, ETL/ELT processes, Tableau.

    Condiciones y beneficios:
    - Contrato Temporal, media jornada.
    - Salario competitivo: 40.000€ - 55.000€ brutos anuales.
    - Oportunidades de crecimiento y aprendizaje continuo en un entorno dinámico.

    Si te apasionan los datos y quieres contribuir a proyectos transformadores, ¡este es tu lugar!",BDENG89073,Data Engineer,
Data Architect,EOS Solutions,"Barcelona, España",['No Dispobible'],Al menos 5 años,"Temporal, jornada completa",['Curso especializado en Big Data'],"['sql', 'data warehousing', 'etl', 'tableau']","Data Architect en EOS Solutions

    Únete a EOS Solutions, una empresa comprometida con la innovación en datos y tecnología. Estamos buscando un/a Data Architect para formar parte de nuestro equipo en Barcelona, España. 

    Responsabilidades principales:
    - Diseñar y desarrollar pipelines de datos utilizando herramientas avanzadas como SQL, Data Warehousing, ETL/ELT processes.
    - Colaborar en proyectos de alto impacto que mejoran la toma de decisiones empresariales.
    - Asegurar la calidad y accesibilidad de los datos para equipos internos y externos.

    Requisitos mínimos:
    - Al menos 5 años de experiencia en roles similares.
    - Formación académica: Curso especializado en Big Data.
    - Conocimientos técnicos en SQL, Data Warehousing, ETL/ELT processes, Tableau.

    Condiciones y beneficios:
    - Contrato Temporal, jornada completa.
    - Salario competitivo: Salario no disponible.
    - Oportunidades de crecimiento y aprendizaje continuo en un entorno dinámico.

    Si te apasionan los datos y quieres contribuir a proyectos transformadores, ¡este es tu lugar!",DENG25547,Data Engineer,
Data Engineer Junior,Keapps,"Barcelona, España",['No Dispobible'],Sin experiencia,"Temporal, jornada completa",['Máster en Big Data o Ingeniería de Datos'],"['python', 'sql', 'apache spark', 'hadoop', 'aws']","Data Engineer Junior en Keapps

    Únete a Keapps, una empresa comprometida con la innovación en datos y tecnología. Estamos buscando un/a Data Engineer Junior para formar parte de nuestro equipo en Barcelona, España. 

    Responsabilidades principales:
    - Diseñar y desarrollar pipelines de datos utilizando herramientas avanzadas como Python, SQL, Apache Spark.
    - Colaborar en proyectos de alto impacto que mejoran la toma de decisiones empresariales.
    - Asegurar la calidad y accesibilidad de los datos para equipos internos y externos.

    Requisitos mínimos:
    - Sin experiencia de experiencia en roles similares.
    - Formación académica: Máster en Big Data o Ingeniería de Datos.
    - Conocimientos técnicos en Python, SQL, Apache Spark, Hadoop, AWS.

    Condiciones y beneficios:
    - Contrato Temporal, jornada completa.
    - Salario competitivo: Salario no disponible.
    - Oportunidades de crecimiento y aprendizaje continuo en un entorno dinámico.

    Si te apasionan los datos y quieres contribuir a proyectos transformadores, ¡este es tu lugar!",DENG62045,Data Engineer,
ETL Developer,EOS Solutions,"Sevilla, España",['No Dispobible'],Al menos 5 años,"Temporal, media jornada",['Máster en Big Data o Ingeniería de Datos'],"['aws', 'gcp', 'azure', 'docker', 'kubernetes']","ETL Developer en EOS Solutions

    Únete a EOS Solutions, una empresa comprometida con la innovación en datos y tecnología. Estamos buscando un/a ETL Developer para formar parte de nuestro equipo en Sevilla, España. 

    Responsabilidades principales:
    - Diseñar y desarrollar pipelines de datos utilizando herramientas avanzadas como Cloud platforms (AWS, GCP, Azure).
    - Colaborar en proyectos de alto impacto que mejoran la toma de decisiones empresariales.
    - Asegurar la calidad y accesibilidad de los datos para equipos internos y externos.

    Requisitos mínimos:
    - Al menos 5 años de experiencia en roles similares.
    - Formación académica: Máster en Big Data o Ingeniería de Datos.
    - Conocimientos técnicos en Cloud platforms (AWS, GCP, Azure), Docker, Kubernetes.

    Condiciones y beneficios:
    - Contrato Temporal, media jornada.
    - Salario competitivo: Salario no disponible.
    - Oportunidades de crecimiento y aprendizaje continuo en un entorno dinámico.

    Si te apasionan los datos y quieres contribuir a proyectos transformadores, ¡este es tu lugar!",ETL97041,Data Engineer,
Data Architect,DataFlow Corp,"Valladolid, España","['35.000', '45.000']",Sin experiencia,"Temporal, media jornada",['Curso especializado en Big Data'],"['aws', 'gcp', 'azure', 'docker', 'kubernetes']","Data Architect en DataFlow Corp

    Únete a DataFlow Corp, una empresa comprometida con la innovación en datos y tecnología. Estamos buscando un/a Data Architect para formar parte de nuestro equipo en Valladolid, España. 

    Responsabilidades principales:
    - Diseñar y desarrollar pipelines de datos utilizando herramientas avanzadas como Cloud platforms (AWS, GCP, Azure).
    - Colaborar en proyectos de alto impacto que mejoran la toma de decisiones empresariales.
    - Asegurar la calidad y accesibilidad de los datos para equipos internos y externos.

    Requisitos mínimos:
    - Sin experiencia de experiencia en roles similares.
    - Formación académica: Curso especializado en Big Data.
    - Conocimientos técnicos en Cloud platforms (AWS, GCP, Azure), Docker, Kubernetes.

    Condiciones y beneficios:
    - Contrato Temporal, media jornada.
    - Salario competitivo: 35.000€ - 45.000€ brutos anuales.
    - Oportunidades de crecimiento y aprendizaje continuo en un entorno dinámico.

    Si te apasionan los datos y quieres contribuir a proyectos transformadores, ¡este es tu lugar!",DENG17895,Data Engineer,
ETL Specialist,Changetheblock,"Valladolid, España","['35.000', '45.000']",3-5 años,"Temporal, jornada completa",['Máster en Big Data o Ingeniería de Datos'],"['sql', 'data warehousing', 'etl', 'elt', 'tableau']","ETL Specialist en Changetheblock

    Únete a Changetheblock, una empresa comprometida con la innovación en datos y tecnología. Estamos buscando un/a ETL Specialist para formar parte de nuestro equipo en Valladolid, España. 

    Responsabilidades principales:
    - Diseñar y desarrollar pipelines de datos utilizando herramientas avanzadas como SQL, Data Warehousing, ETL/ELT processes.
    - Colaborar en proyectos de alto impacto que mejoran la toma de decisiones empresariales.
    - Asegurar la calidad y accesibilidad de los datos para equipos internos y externos.

    Requisitos mínimos:
    - 3-5 años de experiencia en roles similares.
    - Formación académica: Máster en Big Data o Ingeniería de Datos.
    - Conocimientos técnicos en SQL, Data Warehousing, ETL/ELT processes, Tableau.

    Condiciones y beneficios:
    - Contrato Temporal, jornada completa.
    - Salario competitivo: 35.000€ - 45.000€ brutos anuales.
    - Oportunidades de crecimiento y aprendizaje continuo en un entorno dinámico.

    Si te apasionan los datos y quieres contribuir a proyectos transformadores, ¡este es tu lugar!",DENG85257,Data Engineer,
