,Titulo,Empresa,Ubicacion,Salario,Experiencia minima,Tipo de contrato,Estudios minimos,Skills,Descripcion,Referencia,cat_original,cat_identificada
0,IT Security Analyst,DataDefense Inc,"Sevilla, España","['44.000', '63.000']",3-5 años,"Temporal, media jornada",['Máster en Protección de Datos o Seguridad de la Información'],"['iso 27001', 'gdpr', 'sistemas de seguridad', 'auditoria de datos']","En DataDefense Inc, buscamos un/a IT Security Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como ISO 27001, Conocimiento de GDPR, Sistemas de seguridad, Auditoría de datos. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00001,Data Security & Privacy,
1,Security Auditor,Shield Analytics,"Valencia, España","['58.000', '86.000']",Sin experiencia,"Temporal, media jornada","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['trabajo en equipo', 'auditoria de datos', 'gdpr', 'comunicacion efectiva']","En Shield Analytics, buscamos un/a Security Auditor apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Auditoría de datos, Conocimiento de GDPR, Comunicación efectiva. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00002,Data Security & Privacy,
2,Security Auditor,PrivacyGuard Labs,"Madrid, España","['54.000', '62.000']",1-2 años,"Temporal, media jornada",['Máster en Protección de Datos o Seguridad de la Información'],"['iso 27001', 'gdpr', 'sistemas de seguridad']","En PrivacyGuard Labs, buscamos un/a Security Auditor apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Madrid, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como ISO 27001, Análisis crítico, Conocimiento de GDPR, Sistemas de seguridad. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00003,Data Security & Privacy,
3,Chief Information Security Officer,SecureFlow Corp,"Bilbao, España","['55.000', '62.000']",Sin experiencia,"Indefinido, jornada completa",['Máster en Protección de Datos o Seguridad de la Información'],"['gdpr', 'comunicacion efectiva', 'analisis critico', 'trabajo en equipo']","En SecureFlow Corp, buscamos un/a Chief Information Security Officer apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Conocimiento de GDPR, Comunicación efectiva, Análisis crítico, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00004,Data Security & Privacy,
4,Privacy Compliance Manager,DataDefense Inc,"Barcelona, España","['47.000', '68.000']",Al menos 5 años,"Proyecto, freelance","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['gestion de riesgos', 'comunicacion efectiva', 'auditoria de datos', 'trabajo en equipo', 'iso 27001', 'gdpr']","En DataDefense Inc, buscamos un/a Privacy Compliance Manager apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Gestión de riesgos, Comunicación efectiva, Auditoría de datos, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00005,Data Security & Privacy,
5,Security Risk Management Expert,CyberSecure Tech,"Madrid, España","['45.000', '94.000']",Sin experiencia,"Temporal, media jornada",['Máster en Protección de Datos o Seguridad de la Información'],"['iso 27001', 'gestion de riesgos']","En CyberSecure Tech, buscamos un/a Security Risk Management Expert apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Madrid, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como ISO 27001, Análisis crítico, Gestión de riesgos, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00006,Data Security & Privacy,
6,Information Security Consultant,CyberSecure Tech,"Valencia, España","['38.000', '78.000']",1-2 años,"Temporal, media jornada",['Máster en Protección de Datos o Seguridad de la Información'],"['gestion de riesgos', 'comunicacion efectiva', 'sistemas de seguridad', 'trabajo en equipo']","En CyberSecure Tech, buscamos un/a Information Security Consultant apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como Gestión de riesgos, Comunicación efectiva, Sistemas de seguridad, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00007,Data Security & Privacy,
7,Cybersecurity & Compliance Analyst,SecureFlow Corp,"Madrid, España","['45.000', '69.000']",3-5 años,"Indefinido, jornada completa",['Máster en Protección de Datos o Seguridad de la Información'],"['iso 27001', 'gdpr', 'sistemas de seguridad', 'comunicacion efectiva', 'analisis critico']","En SecureFlow Corp, buscamos un/a Cybersecurity & Compliance Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Madrid, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Comunicación efectiva, Análisis crítico, Sistemas de seguridad, ISO 27001. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00008,Data Security & Privacy,
8,IT Security Analyst,DataDefense Inc,"Valencia, España","['53.000', '70.000']",3-5 años,"Proyecto, freelance","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['gestion de riesgos', 'iso 27001', 'gdpr']","En DataDefense Inc, buscamos un/a IT Security Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Gestión de riesgos, ISO 27001, Comunicación efectiva, Conocimiento de GDPR. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00009,Data Security & Privacy,
9,Security Risk Management Expert,CyberSecure Tech,"Valencia, España","['51.000', '80.000']",Al menos 5 años,"Temporal, media jornada","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['iso 27001', 'gdpr', 'trabajo en equipo', 'sistemas de seguridad', 'auditoria de datos', 'gestion de riesgos']","En CyberSecure Tech, buscamos un/a Security Risk Management Expert apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Sistemas de seguridad, Auditoría de datos, Gestión de riesgos. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00010,Data Security & Privacy,
10,Information Security Consultant,CyberSecure Tech,"Sevilla, España","['52.000', '65.000']",1-2 años,"Proyecto, freelance",['Máster en Protección de Datos o Seguridad de la Información'],"['gestion de riesgos', 'gdpr', 'trabajo en equipo', 'analisis critico']","En CyberSecure Tech, buscamos un/a Information Security Consultant apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como Gestión de riesgos, Conocimiento de GDPR, Trabajo en equipo, Análisis crítico. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00011,Data Security & Privacy,
11,Data Protection Officer,Shield Analytics,"Barcelona, España","['34.000', '88.000']",1-2 años,"Proyecto, freelance","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['iso 27001', 'gdpr', 'sistemas de seguridad']","En Shield Analytics, buscamos un/a Data Protection Officer apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como ISO 27001, Conocimiento de GDPR, Sistemas de seguridad, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00012,Data Security & Privacy,
12,Information Security Consultant,SecureFlow Corp,"Sevilla, España","['45.000', '90.000']",Al menos 5 años,"Temporal, media jornada","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['gdpr', 'sistemas de seguridad', 'iso 27001']","En SecureFlow Corp, buscamos un/a Information Security Consultant apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Conocimiento de GDPR, Trabajo en equipo, Sistemas de seguridad, ISO 27001. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00013,Data Security & Privacy,
13,Privacy Compliance Manager,DataDefense Inc,"Sevilla, España","['31.000', '99.000']",Al menos 5 años,"Indefinido, jornada completa",['Máster en Protección de Datos o Seguridad de la Información'],"['comunicacion efectiva', 'gdpr', 'iso27001', 'trabajo en equipo']","En DataDefense Inc, buscamos un/a Privacy Compliance Manager apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Comunicación efectiva, Conocimiento de GDPR, ISO 27001, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00014,Data Security & Privacy,
14,Chief Information Security Officer,CyberSecure Tech,"Sevilla, España","['39.000', '71.000']",Sin experiencia,"Temporal, media jornada",['Máster en Protección de Datos o Seguridad de la Información'],"['auditoria de datos', 'iso 27001', 'trabajo en equipo', 'gdpr']","En CyberSecure Tech, buscamos un/a Chief Information Security Officer apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Auditoría de datos, ISO 27001, Trabajo en equipo, Conocimiento de GDPR. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00015,Data Security & Privacy,
15,Security Risk Management Expert,DataDefense Inc,"Barcelona, España","['40.000', '100.000']",3-5 años,"Temporal, media jornada",['Máster en Protección de Datos o Seguridad de la Información'],"['gestion de riesgos', 'comunicacion efectiva', 'analisis critico', 'iso 27001', 'gdpr']","En DataDefense Inc, buscamos un/a Security Risk Management Expert apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Gestión de riesgos, Comunicación efectiva, Análisis crítico. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00016,Data Security & Privacy,
16,Data Privacy Specialist Junior,DataDefense Inc,"Barcelona, España","['45.000', '78.000']",1-2 años,"Indefinido, jornada completa",['Máster en Protección de Datos o Seguridad de la Información'],"['comunicacion efectiva', 'auditoria de datos', 'iso 27001', 'sistemas de seguridad']","En DataDefense Inc, buscamos un/a Data Privacy Specialist Junior apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como Comunicación efectiva, Auditoría de datos, ISO 27001, Sistemas de seguridad. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00017,Data Security & Privacy,
17,Security Risk Management Expert,Shield Analytics,"Barcelona, España","['52.000', '68.000']",1-2 años,"Temporal, media jornada","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['auditoria de datos', 'sistemas de seguridad', 'gdpr', 'analisis critico']","En Shield Analytics, buscamos un/a Security Risk Management Expert apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como Auditoría de datos, Sistemas de seguridad, Conocimiento de GDPR, Análisis crítico. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00018,Data Security & Privacy,
18,Information Security Consultant,CyberSecure Tech,"Sevilla, España","['35.000', '63.000']",1-2 años,"Temporal, media jornada",['Máster en Protección de Datos o Seguridad de la Información'],"['iso 27001', 'gdpr', 'sistemas de seguridad', 'comunicacion efectiva', 'trabajo en equipo']","En CyberSecure Tech, buscamos un/a Information Security Consultant apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como Sistemas de seguridad, Conocimiento de GDPR, Comunicación efectiva, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00019,Data Security & Privacy,
19,Data Privacy Specialist Junior,PrivacyGuard Labs,"Bilbao, España","['42.000', '72.000']",Sin experiencia,"Indefinido, jornada completa","['Grado en Informática', ' Derecho', ' Ciberseguridad o similar']","['sistemas de seguridad', 'gestion de riesgos', 'auditoria de datos', 'iso 27001']","En PrivacyGuard Labs, buscamos un/a Data Privacy Specialist Junior apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Sistemas de seguridad, Gestión de riesgos, Auditoría de datos, ISO 27001. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00020,Data Security & Privacy,
