Titulo,Empresa,Ubicacion,Salario,Experiencia minima,Tipo de contrato,Estudios minimos,Skills,Descripcion,Referencia,cat_original,cat_identificada
IT Security Analyst,DataDefense Inc,"Sevilla, España",44.000€ - 63.000€ brutos anuales,3-5 años,"Temporal, media jornada",Máster en Protección de Datos o Seguridad de la Información,,"En DataDefense Inc, buscamos un/a IT Security Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como ISO 27001, Conocimiento de GDPR, Sistemas de seguridad, Auditoría de datos. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00001,Data Security & Privacy,
Security Auditor,Shield Analytics,"Valencia, España",58.000€ - 86.000€ brutos anuales,Sin experiencia,"Temporal, media jornada","Grado en Informática, Derecho, Ciberseguridad o similar",,"En Shield Analytics, buscamos un/a Security Auditor apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Auditoría de datos, Conocimiento de GDPR, Comunicación efectiva. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00002,Data Security & Privacy,
Security Auditor,PrivacyGuard Labs,"Madrid, España",54.000€ - 62.000€ brutos anuales,1-2 años,"Temporal, media jornada",Máster en Protección de Datos o Seguridad de la Información,,"En PrivacyGuard Labs, buscamos un/a Security Auditor apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Madrid, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como ISO 27001, Análisis crítico, Conocimiento de GDPR, Sistemas de seguridad. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00003,Data Security & Privacy,
Chief Information Security Officer,SecureFlow Corp,"Bilbao, España",55.000€ - 62.000€ brutos anuales,Sin experiencia,"Indefinido, jornada completa",Máster en Protección de Datos o Seguridad de la Información,,"En SecureFlow Corp, buscamos un/a Chief Information Security Officer apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Conocimiento de GDPR, Comunicación efectiva, Análisis crítico, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00004,Data Security & Privacy,
Privacy Compliance Manager,DataDefense Inc,"Barcelona, España",47.000€ - 68.000€ brutos anuales,Al menos 5 años,"Proyecto, freelance","Grado en Informática, Derecho, Ciberseguridad o similar",,"En DataDefense Inc, buscamos un/a Privacy Compliance Manager apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Gestión de riesgos, Comunicación efectiva, Auditoría de datos, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00005,Data Security & Privacy,
Security Risk Management Expert,CyberSecure Tech,"Madrid, España",45.000€ - 94.000€ brutos anuales,Sin experiencia,"Temporal, media jornada",Máster en Protección de Datos o Seguridad de la Información,,"En CyberSecure Tech, buscamos un/a Security Risk Management Expert apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Madrid, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como ISO 27001, Análisis crítico, Gestión de riesgos, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00006,Data Security & Privacy,
Information Security Consultant,CyberSecure Tech,"Valencia, España",38.000€ - 78.000€ brutos anuales,1-2 años,"Temporal, media jornada",Máster en Protección de Datos o Seguridad de la Información,,"En CyberSecure Tech, buscamos un/a Information Security Consultant apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como Gestión de riesgos, Comunicación efectiva, Sistemas de seguridad, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00007,Data Security & Privacy,
Cybersecurity & Compliance Analyst,SecureFlow Corp,"Madrid, España",45.000€ - 69.000€ brutos anuales,3-5 años,"Indefinido, jornada completa",Máster en Protección de Datos o Seguridad de la Información,,"En SecureFlow Corp, buscamos un/a Cybersecurity & Compliance Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Madrid, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Comunicación efectiva, Análisis crítico, Sistemas de seguridad, ISO 27001. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00008,Data Security & Privacy,
IT Security Analyst,DataDefense Inc,"Valencia, España",53.000€ - 70.000€ brutos anuales,3-5 años,"Proyecto, freelance","Grado en Informática, Derecho, Ciberseguridad o similar",,"En DataDefense Inc, buscamos un/a IT Security Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Gestión de riesgos, ISO 27001, Comunicación efectiva, Conocimiento de GDPR. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00009,Data Security & Privacy,
Security Risk Management Expert,CyberSecure Tech,"Valencia, España",51.000€ - 80.000€ brutos anuales,Al menos 5 años,"Temporal, media jornada","Grado en Informática, Derecho, Ciberseguridad o similar",,"En CyberSecure Tech, buscamos un/a Security Risk Management Expert apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Valencia, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Sistemas de seguridad, Auditoría de datos, Gestión de riesgos. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00010,Data Security & Privacy,
Information Security Consultant,CyberSecure Tech,"Sevilla, España",52.000€ - 65.000€ brutos anuales,1-2 años,"Proyecto, freelance",Máster en Protección de Datos o Seguridad de la Información,,"En CyberSecure Tech, buscamos un/a Information Security Consultant apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como Gestión de riesgos, Conocimiento de GDPR, Trabajo en equipo, Análisis crítico. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00011,Data Security & Privacy,
Data Protection Officer,Shield Analytics,"Barcelona, España",34.000€ - 88.000€ brutos anuales,1-2 años,"Proyecto, freelance","Grado en Informática, Derecho, Ciberseguridad o similar",,"En Shield Analytics, buscamos un/a Data Protection Officer apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como ISO 27001, Conocimiento de GDPR, Sistemas de seguridad, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00012,Data Security & Privacy,
Information Security Consultant,SecureFlow Corp,"Sevilla, España",45.000€ - 90.000€ brutos anuales,Al menos 5 años,"Temporal, media jornada","Grado en Informática, Derecho, Ciberseguridad o similar",,"En SecureFlow Corp, buscamos un/a Information Security Consultant apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Conocimiento de GDPR, Trabajo en equipo, Sistemas de seguridad, ISO 27001. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00013,Data Security & Privacy,
Privacy Compliance Manager,DataDefense Inc,"Sevilla, España",31.000€ - 99.000€ brutos anuales,Al menos 5 años,"Indefinido, jornada completa",Máster en Protección de Datos o Seguridad de la Información,,"En DataDefense Inc, buscamos un/a Privacy Compliance Manager apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Comunicación efectiva, Conocimiento de GDPR, ISO 27001, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00014,Data Security & Privacy,
Chief Information Security Officer,CyberSecure Tech,"Sevilla, España",39.000€ - 71.000€ brutos anuales,Sin experiencia,"Temporal, media jornada",Máster en Protección de Datos o Seguridad de la Información,,"En CyberSecure Tech, buscamos un/a Chief Information Security Officer apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Auditoría de datos, ISO 27001, Trabajo en equipo, Conocimiento de GDPR. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00015,Data Security & Privacy,
Security Risk Management Expert,DataDefense Inc,"Barcelona, España",40.000€ - 100.000€ brutos anuales,3-5 años,"Temporal, media jornada",Máster en Protección de Datos o Seguridad de la Información,,"En DataDefense Inc, buscamos un/a Security Risk Management Expert apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 3-5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Trabajo en equipo, Gestión de riesgos, Comunicación efectiva, Análisis crítico. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00016,Data Security & Privacy,
Data Privacy Specialist Junior,DataDefense Inc,"Barcelona, España",45.000€ - 78.000€ brutos anuales,1-2 años,"Indefinido, jornada completa",Máster en Protección de Datos o Seguridad de la Información,,"En DataDefense Inc, buscamos un/a Data Privacy Specialist Junior apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como Comunicación efectiva, Auditoría de datos, ISO 27001, Sistemas de seguridad. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00017,Data Security & Privacy,
Security Risk Management Expert,Shield Analytics,"Barcelona, España",52.000€ - 68.000€ brutos anuales,1-2 años,"Temporal, media jornada","Grado en Informática, Derecho, Ciberseguridad o similar",,"En Shield Analytics, buscamos un/a Security Risk Management Expert apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Barcelona, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como Auditoría de datos, Sistemas de seguridad, Conocimiento de GDPR, Análisis crítico. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00018,Data Security & Privacy,
Information Security Consultant,CyberSecure Tech,"Sevilla, España",35.000€ - 63.000€ brutos anuales,1-2 años,"Temporal, media jornada",Máster en Protección de Datos o Seguridad de la Información,,"En CyberSecure Tech, buscamos un/a Information Security Consultant apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen 1-2 años de experiencia en el sector y conocimientos avanzados en tecnologías como Sistemas de seguridad, Conocimiento de GDPR, Comunicación efectiva, Trabajo en equipo. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00019,Data Security & Privacy,
Data Privacy Specialist Junior,PrivacyGuard Labs,"Bilbao, España",42.000€ - 72.000€ brutos anuales,Sin experiencia,"Indefinido, jornada completa","Grado en Informática, Derecho, Ciberseguridad o similar",,"En PrivacyGuard Labs, buscamos un/a Data Privacy Specialist Junior apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Bilbao, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Sin experiencia de experiencia en el sector y conocimientos avanzados en tecnologías como Sistemas de seguridad, Gestión de riesgos, Auditoría de datos, ISO 27001. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00020,Data Security & Privacy,
Cybersecurity & Compliance Analyst,CyberSecure Tech,"Sevilla, España",60.000€ - 69.000€ brutos anuales,Al menos 5 años,"Temporal, media jornada","Grado en Informática, Derecho, Ciberseguridad o similar",,"En CyberSecure Tech, buscamos un/a Cybersecurity & Compliance Analyst apasionado/a por la protección y seguridad de la información, que quiera unirse a nuestro equipo en Sevilla, España. Tu principal misión será garantizar la confidencialidad, integridad y disponibilidad de los datos, implementando medidas de seguridad efectivas y asegurando el cumplimiento normativo, como ISO 27001 o GDPR. Requisitos mínimos incluyen Al menos 5 años de experiencia en el sector y conocimientos avanzados en tecnologías como Auditoría de datos, Gestión de riesgos, Análisis crítico, Sistemas de seguridad. Ofrecemos un entorno dinámico, salario competitivo y formación continua para mantenerte a la vanguardia en privacidad y seguridad de datos.",SEC00021,Data Security & Privacy,
